year,record_scope,row_type,regime,level,entity_id,chgis_sys_id,state_id,state_name,prefecture_id,prefecture_name,county_id,county_name,administrative_name,map_label,is_fief,fief_id,fief_rank,holder_text,uncertain,qiao,longitude,latitude,map_drawn,geometry_status,unmapped_reason,chgis_source,book_page,pdf_page,source_title,source_url
588,yearbook_588,administrative_entity,南陳,county,ch_c0113,40801,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0113,建德,建德,建德,0,,,,0,0,119.49885600224023,29.544480988632248,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0114,40716,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0114,豐安,豐安,豐安,0,,,,0,0,119.87135399819533,29.453971985623134,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0115,40646,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0115,信安,信安,信安,0,,,,0,0,118.86795000527789,28.92895199301548,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0116,40624,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0116,定陽,定陽,定陽,0,,,,0,0,118.60101300527836,28.81626499433915,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0117,,ch_s0003,東揚州,ch_p0019,東陽郡,ch_c0117,武義,武義,武義,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1374,476,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0020,32276,ch_s0003,東揚州,ch_p0020,永嘉郡,,,永嘉郡,永嘉郡,0,,,,0,0,120.65322098422614,28.018290979093624,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0118,40699,ch_s0003,東揚州,ch_p0020,永嘉郡,ch_c0118,永寧,永寧,永寧,0,,,,0,0,120.65322098422614,28.018290979093624,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0119,40691,ch_s0003,東揚州,ch_p0020,永嘉郡,ch_c0119,安固,安固,安固,0,,,,0,0,120.63069098596203,27.790511979609743,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0120,40610,ch_s0003,東揚州,ch_p0020,永嘉郡,ch_c0120,松陽,松陽,松陽,0,,,,0,0,119.40692100426715,28.53122899003023,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0121,40677,ch_s0003,東揚州,ch_p0020,永嘉郡,ch_c0121,樂成,樂成,樂成,0,,,,0,0,120.95768697040697,28.13067597520028,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0122,40682,ch_s0003,東揚州,ch_p0020,永嘉郡,ch_c0122,橫陽,橫陽,橫陽,0,,,,0,0,120.55644198874914,27.675717980569566,1,seat,,CHGIS V6,1374,476,,
588,yearbook_588,administrative_entity,南陳,state,ch_s0005,30026,ch_s0005,豐州,,,,,豐州,豐州,0,,,,0,0,119.3215770201562,26.073953997614165,1,seat,,CHGIS V4,1376,478,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0026,32057,ch_s0005,豐州,ch_p0026,晉安郡,,,晉安郡,晉安郡,0,,,,0,0,119.32157700574592,26.07395399194077,1,seat,,CHGIS V6,1376,478,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0143,,ch_s0005,豐州,ch_p0026,晉安郡,ch_c0143,東候官,東候官,東候官,0,,,,0,0,,,0,unmapped,CHGIS 588未找到可采用的同名縣治點,,1376,478,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0144,40166,ch_s0005,豐州,ch_p0026,晉安郡,ch_c0144,侯官,侯官,侯官,0,,,,0,0,119.32157700574592,26.07395399194077,1,seat,,CHGIS V6,1376,478,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0145,40214,ch_s0005,豐州,ch_p0026,晉安郡,ch_c0145,溫麻,溫麻,溫麻,0,,,,0,0,120.01265300140132,26.811345986634603,1,seat,,CHGIS V6,1376,478,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0027,32035,ch_s0005,豐州,ch_p0027,建安郡,,,建安郡,建安郡,0,,,,0,0,118.32378400502766,27.03886399599987,1,seat,,CHGIS V6,1376,478,,
